TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"DDP 동대문디자인플라자","202412","채널전체","54.00000","38.00000",,,"4.30000","29759.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","12872205.00000","12828361.00000","0.30000","1624542421.00000","150896333.00000","266668587.00000"
"N서울타워","202412","채널전체","4.00000",,,,"4.50000","61595.00000","관광 명소","37.5511694","126.9882266","서울특별시 용산구 남산공원길 105","서울특별시","용산구","9070106.00000","8598212.00000","5.50000","558652964.00000","53368142.00000","21749587.00000"
"감천문화마을","202412","채널전체","4.00000",,,,"4.40000","28814.00000","관광 명소","35.0973904","129.0105924","부산광역시 사하구 감내2로 203","부산광역시","사하구","2001573.00000","1881530.00000","6.40000","91085195.00000","6946608.00000","581533.00000"
"강남","202412","채널전체","218.00000","34.00000","30.00000","0.10000","4.10000","591.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","18999109.00000","18880221.00000","0.60000","1817777424.00000","163137149.00000","197154442.00000"
"강변","202412","채널전체","4.00000",,,,"4.10000","802.00000","전자제품 판매점","37.535098","127.094695","서울특별시 광진구 강변역로 53 강변","서울특별시","광진구","5791737.00000","5825015.00000","-0.60000","281357312.00000","22410638.00000","17190358.00000"
"건대입구","202412","채널전체","4.00000",,"4.00000","-1.00000","4.10000","793.00000","쇼핑몰","37.540372","127.069276","서울특별시 화양동 건대입구","서울특별시","광진구","5791737.00000","5825015.00000","-0.60000","281357312.00000","22410638.00000","17190358.00000"
"경복궁","202412","채널전체","82.00000","4.00000","22.00000","-0.80000","4.60000","42529.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11797352.00000","11781367.00000","0.10000","697160397.00000","56458072.00000","22425368.00000"
"고척스카이돔","202412","채널전체","6.00000",,,,"4.40000","1422.00000","야구장","37.498931","126.8670866","서울특별시 구로구 고척동 63-6","서울특별시","구로구","5693033.00000","5338399.00000","6.60000","349623328.00000","31061697.00000","2345395.00000"
"광안대교","202412","채널전체","4.00000",,"4.00000","-1.00000","4.60000","806.00000","다리","35.147551","129.1302088","부산광역시 부산진구 새싹로 174","부산광역시","수영구","3290861.00000","3092446.00000","6.40000","180087477.00000","13313141.00000","1074281.00000"
"광장시장","202412","채널전체","20.00000",,,,"4.20000","41982.00000","재래시장","37.5700398","126.9996036","서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR","서울특별시","종로구","11797352.00000","11781367.00000","0.10000","697160397.00000","56458072.00000","22425368.00000"
"광화문","202412","채널전체","276.00000","90.00000","12.00000","6.50000","4.40000","12860.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11797352.00000","11781367.00000","0.10000","697160397.00000","56458072.00000","22425368.00000"
"구미시장","202412","채널전체","4.00000",,"4.00000","-1.00000","3.60000","140.00000","시장","36.1172459","128.3509342","경상북도 구미시 송정동 87-61","경상북도","구미시","2153315.00000","2141373.00000","0.60000","138772246.00000","11156284.00000","646806.00000"
"국립중앙박물관","202412","채널전체","24.00000","12.00000",,,"4.70000","25412.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","9070106.00000","8598212.00000","5.50000","558652964.00000","53368142.00000","21749587.00000"
"김포공항","202412","채널전체","8.00000","4.00000",,,"4.40000","11026.00000","국제공항","37.5655383","126.8013282","서울특별시 강서구 하늘길 112 김포국제공항 (GMP)","서울특별시","강서구","7069587.00000","6974450.00000","1.40000","905597587.00000","70867420.00000","13093232.00000"
"낙산공원","202412","채널전체","12.00000","4.00000","4.00000",,"4.50000","5741.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","11797352.00000","11781367.00000","0.10000","697160397.00000","56458072.00000","22425368.00000"
"남대문시장","202412","채널전체","6.00000",,,,"4.20000","27084.00000","시장","37.5591786","126.9776692","서울특별시 남창동 46-10번지 윙스 1층 66호 중구 서울특별시 KR","서울특별시","중구","12872205.00000","12828361.00000","0.30000","1624542421.00000","150896333.00000","266668587.00000"
