TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"거제","202501","네이버카페","0.00000",,,,"4.30000","211.00000","관광 명소","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1733098.00000","1616121.00000","7.20000","96220770.00000","6907432.00000","1092548.00000"
"인천국제공항","202501","네이버카페","8.00000","8.00000",,,"4.50000","31294.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8133604.00000","6936296.00000","17.30000","585729128.00000","46442767.00000","66884697.00000"
"자갈치시장","202501","네이버카페","0.00000",,"2.00000","-1.00000","4.00000","25442.00000","수산 시장","35.0966394","129.0305933","부산광역시 중구 남포동5가 105-1","부산광역시","중구","3240800.00000","3227423.00000","0.40000","184248499.00000","15444298.00000","6200963.00000"
"창경궁","202501","네이버카페","6.00000","6.00000",,,"4.70000","4202.00000","문화적 랜드마크","37.5787512","126.9948775","서울특별시 종로구 와룡동 2-1","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"청계천","202501","네이버카페","0.00000",,"2.00000","-1.00000","4.50000","9153.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"코엑스몰","202501","네이버카페","0.00000",,,,"4.30000","23580.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"해운대해수욕장","202501","네이버카페","0.00000",,,,"4.60000","2223.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5624713.00000","5269306.00000","6.70000","618908516.00000","51567288.00000","21451048.00000"
"DDP 동대문디자인플라자","202501","뉴스","0.00000",,"17.00000","-1.00000","4.30000","29801.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","12655783.00000","12370767.00000","2.30000","1473646088.00000","120194159.00000","169238596.00000"
"N서울타워","202501","뉴스","0.00000",,,,"4.50000","61761.00000","관광 명소","37.5511694","126.9882266","서울특별시 용산구 남산공원길 105","서울특별시","용산구","8856130.00000","8149337.00000","8.70000","505284822.00000","40445962.00000","15609468.00000"
"강남","202501","뉴스","14.00000","14.00000","12.00000","0.20000","4.10000","592.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"경복궁","202501","뉴스","0.00000",,,,"4.60000","42788.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"광안대교","202501","뉴스","0.00000",,,,"4.60000","812.00000","다리","35.147551","129.1302088","부산광역시 부산진구 새싹로 174","부산광역시","수영구","3269829.00000","2876499.00000","13.70000","166774336.00000","12443845.00000","1324927.00000"
"광장시장","202501","뉴스","0.00000",,,,"4.20000","42147.00000","재래시장","37.5700398","126.9996036","서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"광화문","202501","뉴스","0.00000",,"35.00000","-1.00000","4.40000","12928.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"구미시장","202501","뉴스","0.00000",,,,"3.60000","140.00000","시장","36.1172459","128.3509342","경상북도 구미시 송정동 87-61","경상북도","구미시","2179800.00000","2061780.00000","5.70000","127615962.00000","10667567.00000","582281.00000"
"국립민속박물관","202501","뉴스","8.00000","8.00000",,,"4.60000","3125.00000","국립박물관","37.5816456","126.9789948","서울특별시 종로구 팔판동 139-1","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"국립중앙박물관","202501","뉴스","0.00000",,"6.00000","-1.00000","4.70000","25582.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","8856130.00000","8149337.00000","8.70000","505284822.00000","40445962.00000","15609468.00000"
"낙산공원","202501","뉴스","4.00000","4.00000",,,"4.50000","5748.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"남대문시장","202501","뉴스","0.00000",,,,"4.20000","27158.00000","시장","37.5591786","126.9776692","서울특별시 남창동 46-10번지 윙스 1층 66호 중구 서울특별시 KR","서울특별시","중구","12655783.00000","12370767.00000","2.30000","1473646088.00000","120194159.00000","169238596.00000"
"더현대서울","202501","뉴스","0.00000",,,,"4.40000","10187.00000","백화점","37.5260497","126.928296","서울특별시 영등포구 여의대로 108","서울특별시","영등포구","9454196.00000","9271262.00000","2.00000","816504208.00000","67574289.00000","21336550.00000"
