TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"인천국제공항","202503","네이버카페","16.00000","4.00000","4.00000","0.00000","4.50000","31612.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8447425.00000","8352851.00000","1.13224","118122164.00000","68467951.00000","49654213.00000"
"거제","202503","네이버카페","0.00000",,,,"4.30000","213.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1853659.00000","1818572.00000","1.92937","8451460.00000","7423123.00000","1028337.00000"
"창경궁","202503","네이버카페","6.00000",,,,"4.70000","4289.00000","문화적 랜드마크","37.5787512","126.9948775","서울특별시 종로구 와룡동 2-1","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"청계천","202503","네이버카페","0.00000",,,,"4.50000","9286.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","중구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"제주공항","202503","네이버카페","0.00000",,,,"4.40000","19090.00000","국제 공항","33.5071","126.4934","제주특별자치도 제주시 특별자치도 공항로 2","제주특별자치도","제주시","4567598.00000","5043993.00000","-9.44480","51396569.00000","40749521.00000","10647048.00000"
"코엑스몰","202503","네이버카페","0.00000",,,,"4.30000","23780.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","영동대로","19186622.00000","19457725.00000","-1.39329","209549507.00000","119131011.00000","90418496.00000"
"자갈치시장","202503","네이버카페","0.00000",,,,"4.00000","25677.00000","수산 시장","35.0966394","129.0305933","부산광역시 중구 남포동5가 105-1","부산광역시","중구","3258675.00000","3421628.00000","-4.76244","21426878.00000","15120687.00000","6306191.00000"
"성산 일출봉","202503","네이버카페","4.00000",,,,"4.70000","1593.00000","산봉우리","33.4180535","126.8648302","제주특별자치도 서귀포시 성산읍 난산리 1672","제주특별자치도","서귀포시","3200932.00000","3649373.00000","-12.28817","25146717.00000","20285461.00000","4861256.00000"
"해운대해수욕장","202503","네이버카페","0.00000",,,,"4.60000","2284.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5662184.00000","5483394.00000","3.26057","69075335.00000","47176404.00000","21898931.00000"
"김해공항","202503","네이버카페","0.00000",,,,"4.10000","4083.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","7629496.00000","7322847.00000","4.18757","70382509.00000","61658489.00000","8724020.00000"
"세종로","202503","뉴스","0.00000",,,,"4.60000","43416.00000","문화적 랜드마크","37.5802252","126.9767995","서울특별시 종로구 사직로 161","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"서울시청","202503","뉴스","0.00000",,,,"4.30000","790.00000","시청","37.550263","126.9970831","서울특별시 중구 세종대로 110","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"숭례문","202503","뉴스","0.00000",,,,"4.60000","758.00000","역사적 명소","37.559984","126.9753071","서울특별시 중구 남대문로4가 29","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"압구정동","202503","뉴스","4.00000",,,,"4.30000","212.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","19186622.00000","19457725.00000","-1.39329","209549507.00000","119131011.00000","90418496.00000"
"서울월드컵경기장","202503","뉴스","0.00000",,,,"4.40000","9126.00000","경기장","37.5682617","126.8972735","서울특별시 마포구 월드컵로 240","서울특별시","마포구","10711578.00000","10984333.00000","-2.48313","73458282.00000","50788679.00000","22669603.00000"
"여의도한강공원","202503","뉴스","0.00000",,,,"4.50000","17487.00000","공원","37.5267106","126.9347112","서울특별시 영등포구 여의동로 계절광장","서울특별시","영등포구","10180621.00000","10080868.00000","0.98953","89034502.00000","68886811.00000","20147691.00000"
"서울신라호텔","202503","뉴스","0.00000",,,,"4.60000","7228.00000","5성급 호텔","37.5559034","127.0052509","서울특별시 중구 동호로 249","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"소공동","202503","뉴스","0.00000",,,,"4.60000","544.00000","역사적 명소","37.5644131","126.9749183","서울특별시 중구 덕수궁길 15","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"서울숲공원","202503","뉴스","16.00000","8.00000","8.00000","0.00000","4.60000","10223.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","6828433.00000","6116950.00000","11.63134","34805747.00000","27018878.00000","7786869.00000"
"서울관광재단","202503","뉴스","0.00000",,,,"4.90000","11.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"서울드래곤시티","202503","뉴스","0.00000",,,,"4.30000","4479.00000","5성급 호텔","37.5319199","126.9624425","서울특별시 용산구 청파로20길 95 스카이킹덤 31F","서울특별시","용산구","9982640.00000","8980181.00000","11.16302","56395162.00000","41652984.00000","14742178.00000"
"영종도","202503","뉴스","0.00000",,,,"4.20000","78.00000","섬","37.5001","126.5358","인천 중구 운남동 671-3","인천","중구","8447425.00000","8352851.00000","1.13224","118122164.00000","68467951.00000","49654213.00000"
"서대문자연사박물관","202503","뉴스","0.00000",,,,"4.30000","2929.00000","자연사 박물관","37.576673","126.9374741","서울특별시 서대문구 연희동 141-52","서울특별시","서대문구","8327028.00000","8198428.00000","1.56859","25219007.00000","19141540.00000","6077467.00000"
"북촌한옥마을","202503","뉴스","4.00000",,,,"4.40000","20093.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"부산 영화의 거리","202503","뉴스","0.00000",,,,"4.20000","1001.00000","관광 명소","35.157","129.15","부산광역시 해운대구 마린시티1로 51","부산광역시","해운대구","5662184.00000","5483394.00000","3.26057","69075335.00000","47176404.00000","21898931.00000"
"명동","202503","뉴스","54.00000","34.00000","20.00000","0.70000","4.30000","24512.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"망원","202503","뉴스","0.00000",,,,"4.30000","8328.00000","재래시장","37.5560685","126.910091","서울특별시 망원역","서울특별시","망원역","10711578.00000","10984333.00000","-2.48313","73458282.00000","50788679.00000","22669603.00000"
"롯데월드","202503","뉴스","0.00000",,,,"4.30000","46864.00000","테마파크","37.5111158","127.098167","서울특별시 송파구 송파대로 521","서울특별시","송파구","11296638.00000","10988523.00000","2.80397","93946780.00000","66888722.00000","27058058.00000"
"동대문","202503","뉴스","137.00000","73.00000","64.00000","0.10000","4.40000","7544.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5796889.00000","5875982.00000","-1.34604","19539041.00000","17918465.00000","1620576.00000"
"독립기념관","202503","뉴스","0.00000",,,,"4.60000","9573.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시","8436151.00000","8412403.00000","0.28230","37647722.00000","36268851.00000","1378871.00000"
"더현대서울","202503","뉴스","0.00000",,,,"4.40000","10335.00000","백화점","37.5260497","126.928296","서울특별시 영등포구 여의대로 108","서울특별시","영등포구","10180621.00000","10080868.00000","0.98953","89034502.00000","68886811.00000","20147691.00000"
"서울랜드","202503","뉴스","0.00000",,,,"4.30000","13692.00000","놀이공원","37.4341563","127.0201267","경기도 과천시 막계동 70-4","경기도","과천시","1725213.00000","1864369.00000","-7.46397","4845178.00000","4768432.00000","76746.00000"
"올림픽공원","202503","뉴스","0.00000",,,,"4.60000","2882.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","11296638.00000","10988523.00000","2.80397","93946780.00000","66888722.00000","27058058.00000"
"ddp 동대문디자인플라자","202503","뉴스","40.00000","20.00000","20.00000","0.00000","4.30000","30060.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"이화여자대학교","202503","뉴스","0.00000",,,,"4.60000","1340.00000","여자대학","37.5618588","126.9468339","서울특별시 서대문구 대현동 산11-1","서울특별시","서대문구","8327028.00000","8198428.00000","1.56859","25219007.00000","19141540.00000","6077467.00000"
"해운대해수욕장","202503","뉴스","0.00000",,,,"4.60000","2284.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5662184.00000","5483394.00000","3.26057","69075335.00000","47176404.00000","21898931.00000"
