TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"신촌","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.70000","1767.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","8376704.00000","7513992.00000","11.50000","88422179.00000","77032203.00000","11389976.00000"
"등촌","202509","네이버카페","11.00000",,,,"4.10000","1754.00000","재래시장","37.5575223","126.8559611","서울특별시 강서구 등촌동 639-27","서울특별시","강서구","8134318.00000","6920343.00000","17.50000","278223218.00000","265851080.00000","12372138.00000"
"땅끝마을","202509","네이버카페","2.00000",,,,"4.10000","85.00000","관광 명소","34.300253","126.526986","전라남도 해남군 송지면 송호리 550번지 땅끝황토테마촌","전라남도","해남군","761351.00000","894712.00000","-14.90000","7110851.00000","7090837.00000","20014.00000"
"인천국제공항","202509","네이버카페","19.00000","3.00000","5.00000","-0.40000","4.50000","32299.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8452741.00000","8885915.00000","-4.90000","267043986.00000","199860666.00000","67183320.00000"
"인사동","202509","네이버카페","1.00000","1.00000",,"1.00000","4.30000","13321.00000","관광 명소","37.5717174","126.9860732","서울특별시 종로구 인사동 153-10","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"익선동","202509","네이버카페","3.00000",,,,"4.30000","7969.00000","명소","37.5743484","126.9897057","서울특별시 종로구 익선동 93","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"광화문","202509","네이버카페","9.00000","2.00000","3.00000","-0.30000","4.50000","13566.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"이태원","202509","네이버카페","9.00000",,"1.00000","-1.00000","4.30000","290.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10208618.00000","8756051.00000","16.60000","187345672.00000","154643306.00000","32702366.00000"
"용인 에버랜드","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.50000","63495.00000","놀이공원","37.2939104","127.2025664","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시 처인구","4604481.00000","4400662.00000","4.60000","109487009.00000","108404211.00000","1082798.00000"
"명동","202509","네이버카페","25.00000","3.00000",,"1.00000","4.40000","25391.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"동대문","202509","네이버카페","1.00000",,,,"4.40000","7693.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5424209.00000","5073967.00000","6.90000","94497715.00000","89880830.00000","4616885.00000"
"올림픽공원","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.60000","2942.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","11173921.00000","10322949.00000","8.20000","308353819.00000","274847021.00000","33506798.00000"
"압구정동","202509","네이버카페","7.00000",,,,"4.30000","245.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"안동 하회마을","202509","네이버카페","1.00000",,,,"4.20000","6970.00000","관광 명소","36.5494088","128.5271269","경상북도 안동시 풍천면 하회리 279번지","경상북도","안동시","1568602.00000","1788619.00000","-12.30000","23740589.00000","23424332.00000","316257.00000"
"경복궁","202509","네이버카페","5.00000","1.00000","2.00000","-0.50000","4.60000","45124.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"보라매공원","202509","네이버카페","1.00000",,,,"4.50000","7564.00000","시티 공원","37.4932342","126.9197115","서울특별시 동작구 신대방동 395","서울특별시","동작구","6414345.00000","5381306.00000","19.20000","69617574.00000","67718684.00000","1898890.00000"
"서울대학교","202509","네이버카페","28.00000",,"14.00000","-1.00000","4.40000","2057.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5949744.00000","5465222.00000","8.90000","71989221.00000","70126848.00000","1862373.00000"
"세빛둥둥섬","202509","네이버카페","6.00000",,,,"4.20000","181.00000","섬","37.35957","127.10539","서울시 서초구 올림픽대로","서울특별시","서초구","16697453.00000","13846815.00000","20.60000","498958933.00000","439609381.00000","59349552.00000"
"서울드래곤시티","202509","네이버카페","1.00000","1.00000",,"1.00000","4.30000","4597.00000","5성급 호텔","37.5319199","126.9624425","서울특별시 용산구 청파로20길 95 스카이킹덤 31F","서울특별시","용산구","10208618.00000","8756051.00000","16.60000","187345672.00000","154643306.00000","32702366.00000"
"성수동","202509","네이버카페","10.00000","1.00000",,"1.00000","4.50000","30.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","7151382.00000","5667382.00000","26.20000","137598397.00000","102363377.00000","35235020.00000"
"석굴암","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.40000","7584.00000","불교사찰","35.7948755","129.3492072","경상북도 경주시 석굴로 238","경상북도","경주시","3843833.00000","4203272.00000","-8.60000","78175638.00000","75739880.00000","2435758.00000"
"영종도","202509","네이버카페","1.00000",,,,"4.30000","84.00000","섬","37.5001","126.5358","인천 중구 운남동 671-3","인천광역시","중구","8452741.00000","8885915.00000","-4.90000","267043986.00000","199860666.00000","67183320.00000"
"전쟁기념관","202509","네이버카페","1.00000",,,,"4.60000","17765.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10208618.00000","8756051.00000","16.60000","187345672.00000","154643306.00000","32702366.00000"
"인왕산","202509","네이버카페","5.00000",,"5.00000","-1.00000","4.70000","304.00000","산봉우리","37.5849489","126.9593042","서울특별시 종로구 옥인동 산3-38","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"제주공항","202509","네이버카페","4.00000",,,,"4.40000","19511.00000","국제 공항","33.5071","126.4934","제주특별자치도 제주시 특별자치도 공항로 2","제주특별자치도","제주시","4997895.00000","4852711.00000","3.00000","180347557.00000","151730684.00000","28616873.00000"
"김해공항","202509","네이버카페","5.00000",,"1.00000","-1.00000","4.10000","4557.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8134318.00000","6920343.00000","17.50000","278223218.00000","265851080.00000","12372138.00000"
"홍대역","202509","네이버카페","6.00000","1.00000",,"1.00000","4.50000","8653.00000","관광 명소","37.557527","126.9244669","서울특별시 홍대입구역","서울특별시","마포구","10992054.00000","10072853.00000","9.10000","247439141.00000","179889107.00000","67550034.00000"
"해파랑길","202509","네이버카페","4.00000",,,,"3.50000","8.00000","하이킹코스","36.0508889","129.5203889","경상북도 포항시 남구 동해면 발산리 산124 해파랑길","경상북도","포항시 남구","2472886.00000","2585758.00000","-4.40000","36115435.00000","35714839.00000","400596.00000"
"해운대해수욕장","202509","네이버카페","2.00000",,,,"4.60000","2553.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5872790.00000","5775126.00000","1.70000","220387948.00000","187886769.00000","32501179.00000"
"한라산","202509","네이버카페","2.00000",,,,"4.70000","796.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","서귀포시","3535822.00000","3517881.00000","0.50000","98924030.00000","84148905.00000","14775125.00000"
"국립중앙박물관","202509","네이버카페","1.00000","1.00000",,"1.00000","4.70000","27220.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10208618.00000","8756051.00000","16.60000","187345672.00000","154643306.00000","32702366.00000"
"포항공대","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.70000","299.00000","공과대학교","36.0138857","129.3231836","경상북도 포항시 남구 청암로 77","경상북도","포항시 남구","2472886.00000","2585758.00000","-4.40000","36115435.00000","35714839.00000","400596.00000"
"전주 한옥마을","202509","네이버카페","2.00000",,,,"4.10000","28927.00000","관광 명소","35.8175376","127.1520417","전북특별자치도 전주시 완산구 기린대로 99","전북특별자치도","전주시 완산구","3490585.00000","3595347.00000","-2.90000","55410774.00000","54070711.00000","1340063.00000"
"코엑스몰","202509","네이버카페","9.00000",,"6.00000","-1.00000","4.30000","24288.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"충청남도청","202509","네이버카페","3.00000","3.00000",,"1.00000","4.20000","26.00000","도청","36.4742105","126.7819505","충청남도 청양군 청양읍 청수리 산116-1","충청남도","청양군","395244.00000","452462.00000","-12.60000","3177061.00000","3174051.00000","3010.00000"
"서울신라호텔","202509","네이버카페","2.00000",,,,"4.60000","7364.00000","5성급 호텔","37.5559034","127.0052509","서울특별시 중구 동호로 249","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"강남","202509","네이버카페","52.00000","5.00000","6.00000","-0.20000","4.10000","599.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"남산골 한옥마을","202509","네이버카페","1.00000",,,,"4.40000","10050.00000","관광 명소","37.559315","126.994477","서울특별시 중구 퇴계로34길 28","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"논현","202509","네이버카페","1.00000","1.00000",,"1.00000","3.70000","41.00000","수입업체","37.5136787","127.0317124","서울특별시 강남구 논현동 207-3","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"남산 공원","202509","뉴스","1.00000",,,,"4.60000","2553.00000","공원","37.5509895","126.9908991","서울특별시 남산서울타워","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"서울숲공원","202509","뉴스","1.00000",,,,"4.60000","10503.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","7151382.00000","5667382.00000","26.20000","137598397.00000","102363377.00000","35235020.00000"
"서울랜드","202509","뉴스","1.00000",,,,"4.30000","13818.00000","놀이공원","37.4341563","127.0201267","경기도 과천시 막계동 70-4","경기도","과천시","1910989.00000","1717845.00000","11.20000","17111576.00000","16937009.00000","174567.00000"
"동대문","202509","뉴스","2.00000",,,,"4.40000","7693.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5424209.00000","5073967.00000","6.90000","94497715.00000","89880830.00000","4616885.00000"
"독립기념관","202509","뉴스","11.00000",,,,"4.60000","9601.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4445182.00000","4274067.00000","4.00000","74690171.00000","73982493.00000","707678.00000"
"서울대학교","202509","뉴스","6.00000",,,,"4.40000","2057.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5949744.00000","5465222.00000","8.90000","71989221.00000","70126848.00000","1862373.00000"
"김해공항","202509","뉴스","12.00000",,"9.00000","-1.00000","4.10000","4557.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8134318.00000","6920343.00000","17.50000","278223218.00000","265851080.00000","12372138.00000"
"더현대서울","202509","뉴스","1.00000",,,,"4.40000","10482.00000","백화점","37.5260497","126.928296","서울특별시 영등포구 여의대로 108","서울특별시","영등포구","10514861.00000","9271762.00000","13.40000","274154515.00000","248597692.00000","25556823.00000"
"서울광장","202509","뉴스","17.00000","2.00000",,"1.00000","4.30000","3397.00000","공원","37.5655675","126.978014","서울특별시 중구 태평로2가 375","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"서울관광재단","202509","뉴스","4.00000",,"3.00000","-1.00000","4.90000","13.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"논현","202509","뉴스","1.00000","1.00000",,"1.00000","3.70000","41.00000","수입업체","37.5136787","127.0317124","서울특별시 강남구 논현동 207-3","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"반포한강공원","202509","뉴스","2.00000",,,,"4.40000","7781.00000","공원","37.5106226","126.9959627","서울특별시 서초구 반포동 650-1","서울특별시","서초구","16697453.00000","13846815.00000","20.60000","498958933.00000","439609381.00000","59349552.00000"
"서울시청","202509","뉴스","7.00000",,"1.00000","-1.00000","4.30000","832.00000","시청","37.550263","126.9970831","서울특별시 중구 세종대로 110","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"낙산공원","202509","뉴스","3.00000",,,,"4.50000","5918.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"뚝섬","202509","뉴스","2.00000","2.00000",,"1.00000","4.60000","696.00000","공원","37.547206","127.047405","서울특별시 성수1가제2동 뚝섬","서울특별시","성동구","7151382.00000","5667382.00000","26.20000","137598397.00000","102363377.00000","35235020.00000"
"남대문시장","202509","뉴스","1.00000",,,,"4.20000","27740.00000","시장","37.5591786","126.9776692","서울특별시 남창동 46-10번지 윙스 1층 66호 중구 서울특별시 KR","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"명동","202509","뉴스","106.00000","43.00000","12.00000","2.60000","4.40000","25391.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"남산","202509","뉴스","4.00000",,"4.00000","-1.00000","4.70000","692.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"롯데월드","202509","뉴스","3.00000","1.00000",,"1.00000","4.30000","47749.00000","테마파크","37.5111158","127.098167","서울특별시 송파구 송파대로 521","서울특별시","송파구","11173921.00000","10322949.00000","8.20000","308353819.00000","274847021.00000","33506798.00000"
"롯데호텔서울","202509","뉴스","2.00000",,,,"4.50000","8664.00000","5성급 호텔","37.5653","126.980979","서울특별시 중구 을지로1가 180-6","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"삼성서울병원","202509","뉴스","2.00000","2.00000",,"1.00000","3.90000","558.00000","종합병원","37.4881193","127.0849885","서울특별시 강남구 일원로 81 삼성서울병원","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"무안국제공항","202509","뉴스","2.00000",,,,"3.90000","263.00000","국제 공항","34.9935","126.3878","전라남도 무안군 망운면 공항로 970-260","전라남도","무안군","1448198.00000","1508748.00000","-4.00000","19674008.00000","19573448.00000","100560.00000"
"DDP 동대문디자인플라자","202509","뉴스","6.00000",,"2.00000","-1.00000","4.30000","30818.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"석굴암","202509","뉴스","2.00000",,,,"4.40000","7584.00000","불교사찰","35.7948755","129.3492072","경상북도 경주시 석굴로 238","경상북도","경주시","3843833.00000","4203272.00000","-8.60000","78175638.00000","75739880.00000","2435758.00000"
