TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"감천문화마을","202411","채널 전체","2.00000",,,,"4.40000","28814.00000","관광 명소","35.09739","129.010592","부산광역시 사하구 감내2로 203","부산광역시","사하구","1974668.00000","1824182.00000","8.20000","84138588.00000","6922945.00000","495687.00000"
"강남","202411","채널 전체","59.00000","28.00000","33.00000","-0.15000","4.10000","591.00000","관광 명소","37.497952","127.027619","서울특별시 강남구 강남대로","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"거문도","202411","채널 전체","4.00000",,,,"3.90000","37.00000","섬","34.048546","127.318335","전라남도 여수시 거문도","전라남도","여수시","2061475.00000","2032418.00000","1.40000","175615135.00000","12741700.00000","558087.00000"
"경복궁","202411","채널 전체","28.00000","10.00000","13.00000","-0.23000","4.60000","42529.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"광장시장","202411","채널 전체","10.00000",,,,"4.20000","41982.00000","재래시장","37.57004","126.999604","서울특별시 종로구 창경궁로 88","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"광화문","202411","채널 전체","87.00000","9.00000","6.00000","0.50000","4.40000","12860.00000","역사적 명소","37.575877","126.976812","서울특별시 종로구 세종대로 172","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"국립중앙박물관","202411","채널 전체","6.00000",,,,"4.70000","25412.00000","국립박물관","37.523851","126.98047","서울특별시 용산구 서빙고로 137","서울특별시","용산구","8856130.00000","8149337.00000","8.70000","505284822.00000","40445962.00000","15609468.00000"
"남대문시장","202411","채널 전체","3.00000",,,,"4.20000","27084.00000","시장","37.559179","126.977669","서울특별시 중구 남대문시장4길 21","서울특별시","중구","12655783.00000","12370767.00000","2.30000","1473646088.00000","120194159.00000","169238596.00000"
"남산서울타워","202411","채널 전체","2.00000",,,,"4.60000","107.00000","관광 명소","37.551169","126.988227","서울특별시 용산구 남산공원길 105","서울특별시","용산구","8856130.00000","8149337.00000","8.70000","505284822.00000","40445962.00000","15609468.00000"
"독립기념관","202411","채널 전체","4.00000",,,,"4.60000","9556.00000","역사 박물관","36.781204","127.226482","충청남도 천안시 동남구 목천읍 독립기념관로 1","충청남도","천안시","3976661.00000","3647283.00000","9.00000","191557794.00000","15548028.00000","370900.00000"
"동대문","202411","채널 전체","24.00000","8.00000","8.00000",,"4.20000","2256.00000","시장","37.581956","127.054846","서울특별시 종로구 종로 272","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"뚝섬한강공원","202411","채널 전체","2.00000",,,,"4.60000","574.00000","공원","37.529351","127.069956","서울특별시 광진구 강변북로 139","서울특별시","광진구","5808425.00000","5600444.00000","3.70000","258946674.00000","20635158.00000","13048789.00000"
"롯데월드","202411","채널 전체","18.00000","4.00000",,,"4.30000","46352.00000","테마파크","37.511116","127.098167","서울특별시 송파구 올림픽로 240","서울특별시","송파구","10185885.00000","10389662.00000","-2.00000","802612055.00000","65620500.00000","32244272.00000"
"명동","202411","채널 전체","94.00000","22.00000","28.00000","-0.21000","4.30000","24030.00000","관광 명소","37.55998","126.98583","서울특별시 중구 명동","서울특별시","중구","12655783.00000","12370767.00000","2.30000","1473646088.00000","120194159.00000","169238596.00000"
"벽제갈비","202411","채널 전체","3.00000","3.00000",,,"4.00000","861.00000","갈비 전문 음식점","37.510201","127.126026","서울특별시 송파구 방이1동 양재대로71길 1-4","서울특별시","송파구","10185885.00000","10389662.00000","-2.00000","802612055.00000","65620500.00000","32244272.00000"
"보신각","202411","채널 전체","2.00000",,,,"4.20000","2276.00000","역사적 명소","37.56976","126.98366","서울특별시 종로구 종로 54","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"삼원가든","202411","채널 전체","13.00000",,,,"4.10000","1598.00000","한식 고기구이 레스토랑","37.524927","127.032591","서울특별시 강남구 언주로 835","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"서울랜드","202411","채널 전체","3.00000",,,,"4.30000","13641.00000","놀이공원","37.434156","127.020127","경기도 과천시 광명로 181","경기도","과천시","1741999.00000","1502525.00000","15.90000","52133546.00000","4429757.00000","100721.00000"
"석촌호수","202411","채널 전체","2.00000",,,,"4.60000","1753.00000","관광 명소","37.51131","127.105153","서울특별시 송파구 잠실6동","서울특별시","송파구","10185885.00000","10389662.00000","-2.00000","802612055.00000","65620500.00000","32244272.00000"
"성수동","202411","채널 전체","35.00000",,"4.00000","-1.00000","3.90000","93.00000","관광 명소","37.540685","127.056632","서울특별시 성동구 아차산로","서울특별시","성동구","5752498.00000","5176437.00000","11.10000","316131281.00000","25276086.00000","7309137.00000"
"에버랜드","202411","채널 전체","2.00000","2.00000",,,"4.50000","62738.00000","놀이공원","37.288188","127.217341","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시","3872431.00000","3645040.00000","6.20000","242428850.00000","19051609.00000","1138355.00000"
"이태원","202411","채널 전체","10.00000","6.00000","4.00000","0.50000","4.20000","285.00000","관광 명소","37.534542","126.994596","서울특별시 용산구 이태원제1동 녹사평대로46길 16","서울특별시","용산구","8856130.00000","8149337.00000","8.70000","505284822.00000","40445962.00000","15609468.00000"
"이화여자대학교","202411","채널 전체","4.00000",,,,"4.60000","1311.00000","여자대학","37.561859","126.946834","서울특별시 서대문구 이화여대길 52","서울특별시","서대문구","7261079.00000","7001386.00000","3.70000","216655500.00000","17828156.00000","7557669.00000"
"인사동","202411","채널 전체","43.00000","2.00000","4.00000","-0.50000","4.30000","12779.00000","관광 명소","37.571717","126.986073","서울특별시 종로구 인사동길","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"인천국제공항","202411","채널 전체","92.00000","76.00000","76.00000",,"4.50000","31064.00000","국제공항","37.458666","126.441968","인천광역시 중구 공항로 272","인천광역시","중구","8133604.00000","6936296.00000","17.30000","585729128.00000","46442767.00000","66884697.00000"
"일산호수공원","202411","채널 전체","2.00000","2.00000",,,"4.60000","6054.00000","공원","37.656744","126.766251","경기도 고양시 일산동구 호수로 595","경기도","고양시","4385465.00000","4344574.00000","0.90000","253270780.00000","20179505.00000","993738.00000"
"종로","202411","채널 전체","25.00000","12.00000","13.00000","-0.08000","4.00000","282.00000","관광 명소","37.570408","126.992353","서울특별시 종로구 종로3길","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"중앙시장","202411","채널 전체","6.00000","2.00000","2.00000",,"4.00000","2748.00000","재래시장","37.566152","127.019665","서울특별시 중구 퇴계로85길 22","서울특별시","중구","12655783.00000","12370767.00000","2.30000","1473646088.00000","120194159.00000","169238596.00000"
"청계천","202411","채널 전체","21.00000","2.00000","3.00000","-0.33000","4.50000","9113.00000","공원","37.569102","126.978669","서울특별시 종로구 서린동","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"청와대","202411","채널 전체","12.00000","3.00000",,,"4.20000","1255.00000","관광 명소","37.586608","126.974811","서울특별시 종로구 청와대로 1","서울특별시","종로구","11763409.00000","11413860.00000","3.10000","640702326.00000","53168351.00000","20319026.00000"
"코엑스","202411","채널 전체","50.00000","12.00000","8.00000","0.50000","4.50000","7693.00000","컨벤션센터","37.511683","127.059151","서울특별시 강남구 영동대로 513","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"한강공원","202411","채널 전체","32.00000","6.00000","30.00000","-0.80000","4.80000","46.00000","공원","37.527001","127.019889","서울특별시 강남구 압구정동 387","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
"해운대","202411","채널 전체","6.00000","30.00000","4.00000","6.50000","4.60000","2184.00000","해변","35.171947","129.174104","부산광역시 해운대구 해운대로","부산광역시","해운대구","5624713.00000","5269306.00000","6.70000","618908516.00000","51567288.00000","21451048.00000"
"홍대","202411","채널 전체","35.00000","23.00000","12.00000","0.92000","4.20000","173.00000","대중교통 이용장소","37.557527","126.924467","서울특별시 마포구 양화로","서울특별시","마포구","9935495.00000","9716343.00000","2.20000","581171004.00000","46704376.00000","24558337.00000"
"강남","202411","인스타그램","19.00000","8.00000","11.00000","-0.27000","4.10000","591.00000","관광 명소","37.497952","127.027619","서울특별시 강남구 강남대로","서울특별시","강남구","18454628.00000","18514625.00000","-0.30000","1654640275.00000","131189062.00000","91796595.00000"
