TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"인왕산","202508","네이버카페","5.00000","5.00000",,"1.00000","4.70000","302.00000","산봉우리","37.5849489","126.9593042","서울특별시 종로구 옥인동 산3-38","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"등촌","202508","네이버카페","11.00000",,,,"4.10000","1754.00000","재래시장","37.5575223","126.8559611","서울특별시 강서구 등촌동 639-27","서울특별시","강서구","8143397.00000","76619190.00000","-89.40000","276434407.00000","265434532.00000","10999875.00000"
"인천국제공항","202508","네이버카페","16.00000","5.00000","5.00000",,"4.50000","32183.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
"땅끝마을","202508","네이버카페","2.00000",,,,"4.10000","84.00000","관광 명소","34.300253","126.526986","전라남도 해남군 송지면 송호리 550번지 땅끝황토테마촌","전라남도","해남군","886371.00000","2993799.00000","-70.40000","9119672.00000","9103124.00000","16548.00000"
"익선동","202508","네이버카페","3.00000",,,,"4.30000","7904.00000","명소","37.5743484","126.9897057","서울특별시 종로구 익선동 93","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"이태원","202508","네이버카페","9.00000","1.00000",,"1.00000","3.90000","29899.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"용인 에버랜드","202508","네이버카페","1.00000","1.00000",,"1.00000","4.50000","63420.00000","놀이공원","37.2939104","127.2025664","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시 처인구","4633800.00000","25550971.00000","-81.90000","110531703.00000","109265594.00000","1266109.00000"
"명동","202508","네이버카페","22.00000",,,,"4.30000","25241.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"올림픽공원","202508","네이버카페","1.00000","1.00000",,"1.00000","4.60000","2931.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","11398247.00000","76947842.00000","-85.20000","318615946.00000","279178348.00000","39437598.00000"
"영종도","202508","네이버카페","1.00000",,,,"4.20000","83.00000","섬","37.5001","126.5358","인천 중구 운남동 671-3","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
"안동 하회마을","202508","네이버카페","1.00000",,,,"4.20000","6944.00000","관광 명소","36.5494088","128.5271269","경상북도 안동시 풍천면 하회리 279번지","경상북도","안동시","1641076.00000","7372125.00000","-77.70000","24980343.00000","24688419.00000","291924.00000"
"신촌","202508","네이버카페","1.00000","1.00000",,"1.00000","4.70000","1748.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","7408740.00000","23726686.00000","-68.80000","79036540.00000","68897412.00000","10139128.00000"
"보라매공원","202508","네이버카페","1.00000",,,,"4.50000","7549.00000","시티 공원","37.4932342","126.9197115","서울특별시 동작구 신대방동 395","서울특별시","동작구","5377193.00000","18180700.00000","-70.40000","64770784.00000","63420168.00000","1350616.00000"
"경복궁","202508","네이버카페","4.00000","2.00000","1.00000","1.00000","4.60000","44798.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"세빛둥둥섬","202508","네이버카페","6.00000",,,,"4.20000","181.00000","섬","37.35957","127.10539","서울시 서초구 올림픽대로","서울특별시","서초구","16034826.00000","111012387.00000","-85.60000","492925128.00000","441249553.00000","51675575.00000"
"서울대학교","202508","네이버카페","28.00000","14.00000","3.00000","3.70000","4.40000","2053.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5744767.00000","22294585.00000","-74.20000","72517440.00000","71147834.00000","1369606.00000"
"성수동","202508","네이버카페","9.00000",,"1.00000","-1.00000","4.50000","29.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6415762.00000","29677732.00000","-78.40000","134225390.00000","99483916.00000","34741474.00000"
"석굴암","202508","네이버카페","1.00000","1.00000",,"1.00000","4.40000","7537.00000","불교사찰","35.7948755","129.3492072","경상북도 경주시 석굴로 238","경상북도","경주시","4931587.00000","26833366.00000","-81.60000","95897549.00000","93664521.00000","2233028.00000"
"광화문","202508","네이버카페","7.00000","3.00000","2.00000","0.50000","4.50000","13471.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"동대문","202508","네이버카페","1.00000",,,,"4.40000","7673.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","4811744.00000","20143961.00000","-76.10000","85113042.00000","82110794.00000","3002248.00000"
"서울신라호텔","202508","네이버카페","2.00000",,,,"4.60000","7358.00000","5성급 호텔","37.5559034","127.0052509","서울특별시 중구 동호로 249","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"전주 한옥마을","202508","네이버카페","2.00000",,,,"4.10000","28875.00000","관광 명소","35.8175376","127.1520417","전북특별자치도 전주시 완산구 기린대로 99","전북특별자치도","전주시 완산구","3707588.00000","17705425.00000","-79.10000","57736693.00000","56755663.00000","981030.00000"
"전쟁기념관","202508","네이버카페","1.00000",,,,"4.60000","17708.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"한라산","202508","네이버카페","2.00000",,,,"4.70000","784.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","서귀포시","4197046.00000","36861755.00000","-88.60000","131733386.00000","113809594.00000","17923792.00000"
