TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"황리단길","202512","기타","4.00000",,,,"4.20000","7568.00000","관광 명소","35.8376609","129.209724","경상북도 경주시 황남동 포석로 일대","경상북도","경주시","3878406.00000","6934802.00000","-44.10000","81087439.00000","79668791.00000","1418648.00000"
"이태원","202512","네이버카페","4.00000",,,,"4.30000","290.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
"세종문화회관","202512","네이버카페","1.00000",,,,"4.40000","7390.00000","문화센터","37.5725254","126.9756429","서울특별시 종로구 세종대로 175 세종문화회관","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"자갈치시장","202512","네이버카페","1.00000","1.00000",,"1.00000","4.00000","26583.00000","수산 시장","35.0966394","129.0305933","부산광역시 중구 남포동5가 105-1","부산광역시","중구","3661060.00000","7065360.00000","-48.20000","50442856.00000","41578963.00000","8863893.00000"
"광장시장","202512","네이버카페","9.00000",,,,"4.20000","43675.00000","재래시장","37.5700398","126.9996036","서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"동대문","202512","네이버카페","13.00000",,,,"4.40000","7759.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5070541.00000","9243374.00000","-45.10000","92655498.00000","87829240.00000","4826258.00000"
"거제","202512","네이버카페","2.00000",,,,"4.30000","216.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1782459.00000","3505418.00000","-49.20000","21981345.00000","21122342.00000","859003.00000"
"성수동","202512","네이버카페","19.00000","1.00000","4.00000","-0.80000","4.50000","33.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6931869.00000","11826122.00000","-41.40000","149000121.00000","105978086.00000","43022035.00000"
"코엑스몰","202512","네이버카페","48.00000","1.00000","4.00000","-0.80000","4.30000","24474.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20704806.00000","37998220.00000","-45.50000","851188507.00000","587672102.00000","263516405.00000"
"국립중앙박물관","202512","네이버카페","1.00000",,"1.00000","-1.00000","4.70000","27802.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
