TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"ddp 동대문디자인플라자","202502","채널전체","76.00000","20.00000","56.00000","-0.60000","4.30000","29953.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","11294766.00000","10897243.00000","3.60000","227776453.00000","116232247.00000","111544206.00000"
"ifc몰","202502","채널전체","0.00000",,,,"4.40000","1878.00000","쇼핑몰","37.5250243","126.9258867","서울특별시 영등포구 여의동 23","서울특별시","영등포구","8862066.00000","8402950.00000","5.50000","75401226.00000","61576784.00000","13824442.00000"
"가로수길","202502","채널전체","4.00000","4.00000",,"1.00000","4.30000","238.00000","관광 명소","37.5210566","127.0228686","서울특별시 강남구 신사동 667-13","서울특별시","강남구","17788449.00000","16362584.00000","8.70000","177763927.00000","110982455.00000","66781472.00000"
"갈매","202502","채널전체","0.00000",,,,"5.00000","1.00000","공원","37.6328602","127.1174649","경기도 구리시 갈매동 285-8","경기도","구리시","3290822.00000","3443083.00000","-4.40000","8007551.00000","7888357.00000","119194.00000"
"강남","202502","채널전체","620.00000","396.00000","224.00000","0.80000","4.10000","594.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","17788449.00000","16362584.00000","8.70000","177763927.00000","110982455.00000","66781472.00000"
"거제","202502","채널전체","6.00000","6.00000",,"1.00000","4.30000","212.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1508584.00000","1807624.00000","-16.50000","7058367.00000","6304897.00000","753470.00000"
"건대입구","202502","채널전체","0.00000",,,,"4.10000","807.00000","쇼핑몰","37.540372","127.069276","서울특별시 화양동 건대입구","서울특별시","광진구","5366203.00000","5304442.00000","1.20000","29945807.00000","18815297.00000","11130510.00000"
"경복궁","202502","채널전체","0.00000",,,,"4.60000","43183.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","10636234.00000","10273224.00000","3.50000","60508011.00000","49942164.00000","10565847.00000"
"고척스카이돔","202502","채널전체","0.00000",,,,"4.40000","1444.00000","야구장","37.498931","126.8670866","서울특별시 구로구 고척동 63-6","서울특별시","구로구","5113206.00000","4969527.00000","2.90000","23942929.00000","22955839.00000","987090.00000"
"공덕","202502","채널전체","0.00000",,,,"3.90000","2923.00000","재래시장","37.54322","126.951576","서울특별시 공덕역","서울특별시","마포구","9086598.00000","9177045.00000","-1.00000","59843877.00000","45433993.00000","14409884.00000"
