TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"DDP 동대문디자인플라자","202508","네이버카페","5.00000","5.00000",,"1.00000","4.30000","30669.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"세종문화회관","202508","네이버카페","1.00000","1.00000",,"1.00000","3.80000","7529.00000","문화센터","37.5725254","126.9756429","서울특별시 종로구 세종대로 175 세종문화회관","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"숭례문","202508","네이버카페","1.00000",,,,"4.50000","826.00000","역사적 명소","37.559984","126.9753071","서울특별시 중구 남대문로4가 29","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"경복궁","202508","네이버카페","1.00000",,,,"4.60000","44798.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"광장시장","202508","네이버카페","2.00000",,,,"4.20000","43379.00000","재래시장","37.5700398","126.9996036","서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"거제","202508","네이버카페","2.00000","2.00000",,"1.00000","4.30000","216.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","2371008.00000","13019409.00000","-81.80000","34654413.00000","32896825.00000","1757588.00000"
"용인 에버랜드","202508","네이버카페","1.00000","1.00000",,"1.00000","4.50000","63420.00000","놀이공원","37.2939104","127.2025664","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시 처인구","4633800.00000","25550971.00000","-81.90000","110531703.00000","109265594.00000","1266109.00000"
"이태원","202508","네이버카페","2.00000","1.00000",,"1.00000","3.90000","29899.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"서울대학교","202508","네이버카페","16.00000","14.00000","1.00000","13.00000","4.40000","2053.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5744767.00000","22294585.00000","-74.20000","72517440.00000","71147834.00000","1369606.00000"
"인천국제공항","202508","네이버카페","3.00000","1.00000",,"1.00000","4.50000","32183.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
"인천항","202508","네이버카페","1.00000",,,,"4.40000","40.00000","항구","37.4594575","126.6256454","인천광역시 중구 항동7가 1-58","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
"서울관광재단","202508","네이버카페","3.00000",,,,"4.90000","13.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"광화문","202508","네이버카페","3.00000","1.00000",,"1.00000","4.50000","13471.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"강남","202508","네이버카페","83.00000","9.00000","15.00000","-0.40000","4.10000","598.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19150645.00000","154510026.00000","-87.60000","738811805.00000","520203899.00000","218607906.00000"
