TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"명동","202503","네이버카페","0.00000",,,,"4.30000","24512.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"코엑스몰","202503","네이버카페","0.00000",,,,"4.30000","23780.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","영동대로","19186622.00000","19457725.00000","-1.39329","209549507.00000","119131011.00000","90418496.00000"
"강남","202503","네이버카페","0.00000",,,,"4.10000","594.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19186622.00000","19457725.00000","-1.39329","209549507.00000","119131011.00000","90418496.00000"
"인천국제공항","202503","네이버카페","0.00000",,,,"4.50000","31612.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8447425.00000","8352851.00000","1.13224","118122164.00000","68467951.00000","49654213.00000"
"성수동","202503","네이버카페","0.00000",,,,"4.60000","15.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6828433.00000","6116950.00000","11.63134","34805747.00000","27018878.00000","7786869.00000"
"남대문로","202503","뉴스","0.00000",,,,"4.20000","27298.00000","시장","37.5636651","126.9805629","서울특별시 중구 소공동 59-1","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"북촌한옥마을","202503","뉴스","0.00000",,,,"4.40000","20093.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"낙산공원","202503","뉴스","0.00000",,,,"4.50000","5784.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"전주 한옥마을","202503","뉴스","0.00000",,,,"4.10000","28687.00000","관광 명소","35.8175376","127.1520417","전북특별자치도 전주시 완산구 기린대로 99","전북특별자치도","전주시","7570916.00000","7429474.00000","1.90380","24906207.00000","24169079.00000","737128.00000"
"서울관광재단","202503","뉴스","0.00000",,,,"4.90000","11.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"ddp 동대문디자인플라자","202503","뉴스","76.00000","20.00000","20.00000","0.00000","4.30000","30060.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"서울광장","202503","뉴스","0.00000",,,,"4.30000","3344.00000","공원","37.5655675","126.978014","서울특별시 중구 태평로2가 375","서울특별시","중구","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
"잠실","202503","뉴스","76.00000","38.00000","38.00000","0.00000","4.40000","9987.00000","야구장","37.5067945","127.0830482","서울특별시 잠실본동 218-11","서울특별시","잠실본동","11296638.00000","10988523.00000","2.80397","93946780.00000","66888722.00000","27058058.00000"
"국회도서관","202503","뉴스","0.00000",,,,"4.50000","248.00000","국립 도서관","37.5311396","126.9170175","서울특별시 영등포구 여의동 1","서울특별시","영등포구","10180621.00000","10080868.00000","0.98953","89034502.00000","68886811.00000","20147691.00000"
"포스코국제관","202503","뉴스","0.00000",,,,"4.70000","298.00000","공과대학교","36.0139879","129.3210672","경상북도 포항시 남구 지곡동 253","경상북도","포항시","5182960.00000","5226885.00000","-0.84037","22303863.00000","20803153.00000","1500710.00000"
"국립중앙박물관","202503","뉴스","0.00000",,,,"4.70000","25919.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","9982640.00000","8980181.00000","11.16302","56395162.00000","41652984.00000","14742178.00000"
"동대문","202503","뉴스","88.00000","12.00000","12.00000","0.00000","4.40000","7544.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5796889.00000","5875982.00000","-1.34604","19539041.00000","17918465.00000","1620576.00000"
"포시즌스호텔","202503","뉴스","0.00000",,,,"4.50000","6934.00000","5성급 호텔","37.5706978","126.9755073","서울특별시 종로구 당주동 새문안로 97","서울특별시","종로구","13247027.00000","12570677.00000","5.38038","75398723.00000","55374345.00000","20024378.00000"
"파르나스몰","202503","뉴스","0.00000",,,,"4.30000","440.00000","쇼핑몰","37.5091322","127.0608511","서울특별시 KR 서울특별시 강남구 삼성동 159-8번지 그랜드인터콘티넨탈호텔 지하1층 F34호","서울특별시","KR","19186622.00000","19457725.00000","-1.39329","209549507.00000","119131011.00000","90418496.00000"
"남대문시장","202503","뉴스","4.00000",,,,"4.20000","27298.00000","시장","37.5591786","126.9776692","서울특별시 남창동 46-10번지 윙스 1층 66호 중구 서울특별시 KR","서울특별시","남창동","12871649.00000","13050978.00000","-1.37407","278779364.00000","158938430.00000","119840934.00000"
