TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"DDP 동대문디자인플라자","202509","네이버카페","5.00000",,"5.00000","-1.00000","4.30000","30818.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"송도 센트럴파크","202509","네이버카페","1.00000","1.00000",,"1.00000","4.50000","5983.00000","시티 공원","37.3922621","126.6396891","인천광역시 연수구 송도동 24-5","인천광역시","연수구","4530858.00000","4301776.00000","5.30000","98185720.00000","91050459.00000","7135261.00000"
"거제","202509","네이버카페","2.00000",,"2.00000","-1.00000","4.30000","217.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1772561.00000","2039775.00000","-13.10000","22227005.00000","20506227.00000","1720778.00000"
"성수동","202509","네이버카페","7.00000",,"1.00000","-1.00000","4.50000","30.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","7151382.00000","5667382.00000","26.20000","137598397.00000","102363377.00000","35235020.00000"
"인천국제공항","202509","네이버카페","5.00000","2.00000","1.00000","1.00000","4.50000","32299.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8452741.00000","8885915.00000","-4.90000","267043986.00000","199860666.00000","67183320.00000"
"코엑스몰","202509","네이버카페","38.00000",,,,"4.30000","24288.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"숭례문","202509","네이버카페","1.00000",,,,"4.50000","850.00000","역사적 명소","37.559984","126.9753071","서울특별시 중구 남대문로4가 29","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"압구정동","202509","네이버카페","13.00000",,"2.00000","-1.00000","4.30000","245.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"강남","202509","네이버카페","95.00000","12.00000","9.00000","0.30000","4.10000","599.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"서울대학교","202509","네이버카페","24.00000","8.00000","14.00000","-0.40000","4.40000","2057.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5949744.00000","5465222.00000","8.90000","71989221.00000","70126848.00000","1862373.00000"
"경복궁","202509","네이버카페","2.00000","1.00000",,"1.00000","4.60000","45124.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"광장시장","202509","네이버카페","2.00000",,,,"4.20000","43529.00000","재래시장","37.5700398","126.9996036","서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"용인 에버랜드","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.50000","63495.00000","놀이공원","37.2939104","127.2025664","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시 처인구","4604481.00000","4400662.00000","4.60000","109487009.00000","108404211.00000","1082798.00000"
"서울관광재단","202509","네이버카페","3.00000",,,,"4.90000","13.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
