TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE,FILE_YM,CATEGORY,CHNNEL_NM_NORM,DATE
DDP 동대문디자인플라자,202411,채널전체,350.0,18.0,92.0,-0.8,4.3,29759.0,문화센터,37.5665256,127.0092236,서울특별시 중구 을지로 281,서울특별시,중구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
ifc몰,202411,채널전체,4.0,,,,4.4,1830.0,쇼핑몰,37.5250243,126.9258867,서울특별시 영등포구 여의동 23,서울특별시,영등포구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
가로수길,202411,채널전체,24.0,,8.0,-1.0,4.3,225.0,관광 명소,37.5210566,127.0228686,서울특별시 강남구 신사동 667-13,서울특별시,강남구,9454196.0,9271262.0,2.0,816504208.0,67574289.0,21336550.0,202411,KBEAUTY,채널전체,2024-11-01
갈매,202411,채널전체,6.0,,,,5.0,1.0,공원,37.6328602,127.1174649,경기도 구리시 갈매동 285-8,경기도,구리시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
강남,202411,채널전체,1596.0,80.0,144.0,-0.4,4.1,591.0,관광 명소,37.4966645,127.0629804,서울특별시 강남구 남부순환로 2949-2,서울특별시,강남구,3839150.0,3655799.0,5.0,112673583.0,8926866.0,126363.0,202411,KBEAUTY,채널전체,2024-11-01
거제,202411,채널전체,8.0,,,,4.4,8125.0,관광 명소,34.8931951,128.6091247,경상남도 거제시 장평동 7-9,경상남도,거제시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
건대입구,202411,채널전체,542.0,,,,4.1,793.0,쇼핑몰,37.540372,127.069276,서울특별시 화양동 건대입구,서울특별시,광진구,1733098.0,1616121.0,7.2,96220770.0,6907432.0,1092548.0,202411,KBEAUTY,채널전체,2024-11-01
경복궁,202411,채널전체,12.0,,,,4.6,42529.0,문화적 랜드마크,37.579617,126.977041,서울특별시 종로구 사직로 161,서울특별시,종로구,5808425.0,5600444.0,3.7,258946674.0,20635158.0,13048789.0,202411,KBEAUTY,채널전체,2024-11-01
고척스카이돔,202411,채널전체,20.0,,,,4.4,1422.0,야구장,37.498931,126.8670866,서울특별시 구로구 고척동 63-6,서울특별시,구로구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
공덕,202411,채널전체,6.0,,,,3.9,2914.0,재래시장,37.54322,126.951576,서울특별시 공덕역,서울특별시,마포구,5463955.0,5095121.0,7.2,318561631.0,26575026.0,1776177.0,202411,KBEAUTY,채널전체,2024-11-01
광안대교,202411,채널전체,28.0,,14.0,-1.0,4.6,806.0,다리,35.147551,129.1302088,부산광역시 부산진구 새싹로 174,부산광역시,수영구,9935495.0,9716343.0,2.2,581171004.0,46704376.0,24558337.0,202411,KBEAUTY,채널전체,2024-11-01
광장시장,202411,채널전체,2.0,,,,4.2,41982.0,재래시장,37.5700398,126.9996036,서울특별시 예지동 2-1번지 1층 종로구 서울특별시 KR,서울특별시,종로구,3269829.0,2876499.0,13.7,166774336.0,12443845.0,1324927.0,202411,KBEAUTY,채널전체,2024-11-01
광화문,202411,채널전체,156.0,,8.0,-1.0,4.4,12860.0,역사적 명소,37.572389,126.9769117,서울특별시 종로구 세종대로 172,서울특별시,종로구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
국립민속박물관,202411,채널전체,10.0,,,,4.6,3101.0,국립박물관,37.5816456,126.9789948,서울특별시 종로구 팔판동 139-1,서울특별시,종로구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
국립중앙박물관,202411,채널전체,26.0,,,,4.7,25412.0,국립박물관,37.5238506,126.9804702,서울특별시 용산구 서빙고로 137,서울특별시,용산구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
국회도서관,202411,채널전체,20.0,,,,4.5,246.0,국립 도서관,37.5311396,126.9170175,서울특별시 영등포구 여의동 1,서울특별시,영등포구,8856130.0,8149337.0,8.7,505284822.0,40445962.0,15609468.0,202411,KBEAUTY,채널전체,2024-11-01
국회의사당,202411,채널전체,26.0,,,,4.1,392.0,관공서,37.5318046,126.9141547,서울특별시 영등포구 여의동 1,서울특별시,영등포구,9454196.0,9271262.0,2.0,816504208.0,67574289.0,21336550.0,202411,KBEAUTY,채널전체,2024-11-01
김포공항,202411,채널전체,4.0,,,,4.4,11026.0,국제공항,37.5655383,126.8013282,서울특별시 강서구 하늘길 112 김포국제공항 (GMP),서울특별시,강서구,9454196.0,9271262.0,2.0,816504208.0,67574289.0,21336550.0,202411,KBEAUTY,채널전체,2024-11-01
까치산,202411,채널전체,10.0,,,,4.1,701.0,시장,37.5317675,126.8467055,서울특별시 까치산역,서울특별시,강서구,6794476.0,6667426.0,1.9,834730168.0,65900812.0,8879384.0,202411,KBEAUTY,채널전체,2024-11-01
낙산공원,202411,채널전체,32.0,,,,4.5,5741.0,공원,37.5806571,127.0074835,서울특별시 종로구 낙산길 41 낙산공원,서울특별시,종로구,6794476.0,6667426.0,1.9,834730168.0,65900812.0,8879384.0,202411,KBEAUTY,채널전체,2024-11-01
남대문로,202411,채널전체,16.0,,,,4.2,27084.0,시장,37.5636651,126.9805629,서울특별시 중구 소공동 59-1,서울특별시,중구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
논현,202411,채널전체,66.0,4.0,,,3.7,41.0,수입업체,37.5136787,127.0317124,서울특별시 강남구 논현동 207-3,서울특별시,강남구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
논현동,202411,채널전체,4.0,,,,3.7,41.0,수입업체,37.5136787,127.0317124,서울특별시 강남구 논현동 207-3,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
대구두류공원,202411,채널전체,6.0,,,,4.4,645.0,시티 공원,35.8490831,128.5590797,대구광역시 달서구 공원순환로 36 두류공원,대구광역시,달서구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
대릉원,202411,채널전체,24.0,,,,4.5,3275.0,무덤,35.8381806,129.2106611,경상북도 경주시 황남동 257-1,경상북도,경주시,4501637.0,4326339.0,4.0,245422608.0,20536887.0,525448.0,202411,KBEAUTY,채널전체,2024-11-01
대전컨벤션센터,202411,채널전체,118.0,36.0,,,4.0,2161.0,컨벤션센터,36.375216,127.391775,대전광역시 유성구 엑스포로 107,대전광역시,유성구,3977935.0,3671923.0,8.3,232806129.0,19854597.0,1426100.0,202411,KBEAUTY,채널전체,2024-11-01
대천해수욕장,202411,채널전체,6.0,,,,4.4,465.0,해변,36.3055967,126.5160485,충청남도 보령시 신흑동 1345,충청남도,보령시,5112674.0,4734898.0,8.0,453243045.0,38738952.0,1745808.0,202411,KBEAUTY,채널전체,2024-11-01
대화역,202411,채널전체,8.0,,4.0,-1.0,4.2,9.0,교통 허브,37.6758831,126.7477558,고양시 대화역,경기도,고양시,1403195.0,1256216.0,11.7,63228648.0,5207268.0,33842.0,202411,KBEAUTY,채널전체,2024-11-01
더현대서울,202411,채널전체,72.0,,16.0,-1.0,4.4,10151.0,백화점,37.5260497,126.928296,서울특별시 영등포구 여의대로 108,서울특별시,영등포구,4385465.0,4344574.0,0.9,253270780.0,20179505.0,993738.0,202411,KBEAUTY,채널전체,2024-11-01
덕수궁,202411,채널전체,8.0,,,,4.6,19437.0,문화적 랜드마크,37.5658049,126.9751461,서울특별시 중구 세종대로 99,서울특별시,중구,9454196.0,9271262.0,2.0,816504208.0,67574289.0,21336550.0,202411,KBEAUTY,채널전체,2024-11-01
독립기념관,202411,채널전체,8.0,,,,4.6,9556.0,역사 박물관,36.7812042,127.2264822,충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관,충청남도,천안시,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
동대문,202411,채널전체,546.0,22.0,126.0,-0.8,4.2,2256.0,시장,37.5819561,127.054846,서울특별시 동대문구 전농동 141-189,서울특별시,동대문구,3976661.0,3647283.0,9.0,191557794.0,15548028.0,370900.0,202411,KBEAUTY,채널전체,2024-11-01
뚝섬,202411,채널전체,54.0,18.0,,,4.6,578.0,공원,37.547206,127.047405,서울특별시 성수1가제2동 뚝섬,서울특별시,성동구,4718000.0,4650856.0,1.4,197619584.0,16362812.0,1948055.0,202411,KBEAUTY,채널전체,2024-11-01
레고랜드,202411,채널전체,6.0,,,,4.2,3446.0,테마파크,37.8847787,127.6970027,강원특별자치도 춘천시 하중도길 128,강원특별자치도,춘천시,5752498.0,5176437.0,11.1,316131281.0,25276086.0,7309137.0,202411,KBEAUTY,채널전체,2024-11-01
롯데월드,202411,채널전체,36.0,,,,4.3,46352.0,테마파크,37.5111158,127.098167,서울특별시 송파구 송파대로 521,서울특별시,송파구,2400898.0,2330471.0,3.0,177840357.0,14744239.0,644847.0,202411,KBEAUTY,채널전체,2024-11-01
리버사이드호텔,202411,채널전체,14.0,,,,3.7,3877.0,4성급 호텔,37.518644,127.0181008,서울특별시 서초구 잠원동 6-1,서울특별시,서초구,10185885.0,10389662.0,-2.0,802612055.0,65620500.0,32244272.0,202411,KBEAUTY,채널전체,2024-11-01
마포대교,202411,채널전체,4.0,,,,4.5,300.0,다리,37.5337975,126.9371138,서울특별시 마포구 도화동,서울특별시,마포구,14876865.0,13756603.0,8.1,1205837329.0,103085066.0,21262467.0,202411,KBEAUTY,채널전체,2024-11-01
명동,202411,채널전체,876.0,30.0,78.0,-0.6,4.3,24030.0,관광 명소,37.55998,126.9858296,서울특별시 중구 남산동2가 10-4,서울특별시,중구,9935495.0,9716343.0,2.2,581171004.0,46704376.0,24558337.0,202411,KBEAUTY,채널전체,2024-11-01
명동성당,202411,채널전체,4.0,,,,4.7,9259.0,대성당,37.5633245,126.9872338,서울특별시 중구 명동길 74,서울특별시,중구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
민속박물관,202411,채널전체,10.0,,,,4.6,3101.0,국립박물관,37.5816456,126.9789948,서울특별시 종로구 팔판동 139-1,서울특별시,종로구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
부산아시아드주경기장,202411,채널전체,6.0,,,,4.2,859.0,경기장,35.1899786,129.0582686,부산광역시 연제구 월드컵대로 344,부산광역시,연제구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
부산프리미엄아울렛,202411,채널전체,6.0,,,,4.1,6307.0,아울렛몰,35.3235465,129.2358573,부산광역시 기장군 장안읍 정관로 1133 사이먼부산 1F,부산광역시,기장군,2536961.0,2480005.0,2.3,163259544.0,13062171.0,138828.0,202411,KBEAUTY,채널전체,2024-11-01
북촌한옥마을,202411,채널전체,32.0,,,,4.4,19546.0,명소,37.5814696,126.9849519,서울특별시 종로구 가회동 30-9,서울특별시,종로구,3285905.0,2953111.0,11.3,364880323.0,32333756.0,6178452.0,202411,KBEAUTY,채널전체,2024-11-01
삼성서울병원,202411,채널전체,18.0,,,,3.9,508.0,종합병원,37.4881193,127.0849885,서울특별시 강남구 일원로 81 삼성서울병원,서울특별시,강남구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
상동호수공원,202411,채널전체,4.0,,,,4.4,1822.0,시티 공원,37.5040834,126.7451423,경기도 부천시 조마루로 15 상동호수공원,경기도,부천시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
서문시장,202411,채널전체,4.0,,,,4.2,18229.0,재래시장,35.8688497,128.5807879,대구광역시 중구 큰장로26길 45,대구광역시,중구,5068231.0,5068231.0,0.0,29729041.0,26212945.0,3516096.0,202411,KBEAUTY,채널전체,2024-11-01
서울관광재단,202411,채널전체,34.0,,4.0,-1.0,4.9,10.0,재단,37.5685861,126.9871543,서울특별시 종로구 청계천로 85,서울특별시,종로구,5450718.0,5184977.0,5.1,395146911.0,32693231.0,1403378.0,202411,KBEAUTY,채널전체,2024-11-01
서울광장,202411,채널전체,24.0,10.0,,,4.3,3334.0,공원,37.5655675,126.978014,서울특별시 중구 태평로2가 375,서울특별시,중구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
서울대학교,202411,채널전체,12.0,,,,4.6,1864.0,공립대학교,37.4648267,126.9571988,서울특별시 관악구 관악로,서울특별시,관악구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
서울드래곤시티,202411,채널전체,40.0,,4.0,-1.0,4.3,4430.0,5성급 호텔,37.5319199,126.9624425,서울특별시 용산구 청파로20길 95 스카이킹덤 31F,서울특별시,용산구,5165076.0,4904039.0,5.3,215055545.0,17088187.0,733503.0,202411,KBEAUTY,채널전체,2024-11-01
서울로7017,202411,채널전체,4.0,,,,4.2,6613.0,시티 공원,37.5567137,126.9695753,서울특별시 중구 한강대로 405,서울특별시,중구,8856130.0,8149337.0,8.7,505284822.0,40445962.0,15609468.0,202411,KBEAUTY,채널전체,2024-11-01
서울숲,202411,채널전체,140.0,,,,4.6,10097.0,공원,37.5443878,127.0374424,서울특별시 성동구 성수동1가 678-1,서울특별시,성동구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
서울숲공원,202411,채널전체,258.0,68.0,42.0,0.6,4.6,10097.0,공원,37.5443878,127.0374424,서울특별시 성동구 성수동1가 678-1,서울특별시,성동구,5752498.0,5176437.0,11.1,316131281.0,25276086.0,7309137.0,202411,KBEAUTY,채널전체,2024-11-01
서울시청,202411,채널전체,38.0,,,,4.3,772.0,시청,37.550263,126.9970831,서울특별시 중구 세종대로 110,서울특별시,중구,5752498.0,5176437.0,11.1,316131281.0,25276086.0,7309137.0,202411,KBEAUTY,채널전체,2024-11-01
서울신라호텔,202411,채널전체,8.0,,,,4.6,7156.0,5성급 호텔,37.5559034,127.0052509,서울특별시 중구 동호로 249,서울특별시,중구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
성수동,202411,채널전체,504.0,94.0,64.0,0.5,3.9,93.0,관광 명소,37.5406846,127.0566319,서울특별시 성동구 성수동2가 315-4,서울특별시,성동구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
세브란스병원,202411,채널전체,10.0,,,,3.8,430.0,대학병원,37.5623371,126.9408692,서울특별시 서대문구 신촌동 연세로 50-1,서울특별시,서대문구,5752498.0,5176437.0,11.1,316131281.0,25276086.0,7309137.0,202411,KBEAUTY,채널전체,2024-11-01
소공동,202411,채널전체,6.0,,,,4.6,535.0,역사적 명소,37.5644131,126.9749183,서울특별시 중구 덕수궁길 15,서울특별시,중구,7261079.0,7001386.0,3.7,216655500.0,17828156.0,7557669.0,202411,KBEAUTY,채널전체,2024-11-01
송리단길,202411,채널전체,4.0,,,,4.1,115.0,관광 명소,37.50925,127.1105712,서울특별시 송파구 백제고분로45길 5,서울특별시,송파구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
숭례문,202411,채널전체,12.0,,,,4.5,706.0,역사적 명소,37.559984,126.9753071,서울특별시 중구 남대문로4가 29,서울특별시,중구,10185885.0,10389662.0,-2.0,802612055.0,65620500.0,32244272.0,202411,KBEAUTY,채널전체,2024-11-01
신촌,202411,채널전체,8.0,,,,4.7,1539.0,대학교,37.5650797,126.9399549,서울특별시 서대문구 연세로 50-1,서울특별시,서대문구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
압구정,202411,채널전체,58.0,4.0,4.0,,4.3,225.0,관광 명소,37.5271478,127.0334517,서울특별시 강남구 신사동 언주로 861,서울특별시,강남구,7261079.0,7001386.0,3.7,216655500.0,17828156.0,7557669.0,202411,KBEAUTY,채널전체,2024-11-01
압구정동,202411,채널전체,10.0,,,,4.3,225.0,관광 명소,37.5271478,127.0334517,서울특별시 강남구 신사동 언주로 861,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
압구정로,202411,채널전체,4.0,,,,4.3,225.0,관광 명소,37.5263577,127.0335584,서울특별시 강남구 언주로 852,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
역삼동,202411,채널전체,20.0,,,,3.7,41.0,수입업체,37.5000776,127.0385419,서울특별시 강남구 논현로 432,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
예술의전당,202411,채널전체,4.0,,,,4.6,11889.0,아트 센터,37.4792903,127.0128613,서울특별시 서초구 남부순환로 2406,서울특별시,서초구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
올림픽체조경기장,202411,채널전체,4.0,,,,4.3,1383.0,체조경기장,37.5191503,127.1273644,서울특별시 송파구 올림픽로 424,서울특별시,송파구,14876865.0,13756603.0,8.1,1205837329.0,103085066.0,21262467.0,202411,KBEAUTY,채널전체,2024-11-01
은평한옥마을,202411,채널전체,542.0,,,,4.2,4123.0,관광 명소,37.6415964,126.9390908,서울특별시 은평구 진관동 127-25,서울특별시,은평구,10185885.0,10389662.0,-2.0,802612055.0,65620500.0,32244272.0,202411,KBEAUTY,채널전체,2024-11-01
을지로,202411,채널전체,20.0,4.0,6.0,-0.3,4.8,6.0,관광 명소,37.5660286,126.9954924,서울특별시 중구 을지로4가 310-68,서울특별시,중구,2984194.0,2946048.0,1.3,158302701.0,12885013.0,519682.0,202411,KBEAUTY,채널전체,2024-11-01
익선동,202411,채널전체,16.0,,,,4.2,7500.0,명소,37.5743484,126.9897057,서울특별시 종로구 익선동 93,서울특별시,종로구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
인사동,202411,채널전체,8.0,,4.0,-1.0,4.3,12779.0,관광 명소,37.5717174,126.9860732,서울특별시 종로구 인사동 153-10,서울특별시,종로구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
인천국제공항,202411,채널전체,208.0,24.0,,,4.5,31064.0,국제공항,37.458666,126.4419679,인천광역시 중구 공항로 272 인천국제공항 (ICN),인천광역시,중구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
인천문학경기장,202411,채널전체,12.0,,,,4.2,2159.0,경기장,37.4350619,126.6907212,인천광역시 미추홀구 문학동 482,인천광역시,미추홀구,8133604.0,6936296.0,17.3,585729128.0,46442767.0,66884697.0,202411,KBEAUTY,채널전체,2024-11-01
인천항,202411,채널전체,16.0,8.0,,,4.3,36.0,항구,37.4594575,126.6256454,인천광역시 중구 항동7가 1-58,인천광역시,중구,3515995.0,3519386.0,-0.1,229076315.0,19005950.0,1273473.0,202411,KBEAUTY,채널전체,2024-11-01
일산호수공원,202411,채널전체,10.0,,,,4.6,6054.0,공원,37.6567441,126.7662508,경기도 고양시 일산동구 호수로 595 일산호수공원,경기도,고양시,8133604.0,6936296.0,17.3,585729128.0,46442767.0,66884697.0,202411,KBEAUTY,채널전체,2024-11-01
자갈치시장,202411,채널전체,4.0,,,,4.0,25397.0,수산 시장,35.0966394,129.0305933,부산광역시 중구 남포동5가 105-1,부산광역시,중구,4385465.0,4344574.0,0.9,253270780.0,20179505.0,993738.0,202411,KBEAUTY,채널전체,2024-11-01
잠실,202411,채널전체,606.0,46.0,62.0,-0.3,4.3,46447.0,테마파크,37.5067945,127.0830482,서울특별시 잠실본동 218-11,서울특별시,송파구,3240800.0,3227423.0,0.4,184248499.0,15444298.0,6200963.0,202411,KBEAUTY,채널전체,2024-11-01
전주 한옥마을,202411,채널전체,6.0,,,,4.1,28588.0,관광 명소,35.8175376,127.1520417,전북특별자치도 전주시 완산구 기린대로 99,전북특별자치도,전주시,10185885.0,10389662.0,-2.0,802612055.0,65620500.0,32244272.0,202411,KBEAUTY,채널전체,2024-11-01
정자역,202411,채널전체,6.0,,,,4.4,26.0,교통 허브,37.366766,127.108265,성남시 정자역,경기도,성남시,3379922.0,3159905.0,7.0,176509881.0,14989137.0,728072.0,202411,KBEAUTY,채널전체,2024-11-01
중앙박물관,202411,채널전체,26.0,,,,4.7,25485.0,국립박물관,37.5238506,126.9804702,서울특별시 용산구 서빙고로 137,서울특별시,용산구,6944063.0,6999685.0,-0.8,691483627.0,55615221.0,9029037.0,202411,KBEAUTY,채널전체,2024-11-01
중앙시장,202411,채널전체,4.0,,,,4.0,2748.0,재래시장,37.5661516,127.0196647,서울특별시 중구 퇴계로85길 22,서울특별시,중구,8856130.0,8149337.0,8.7,505284822.0,40445962.0,15609468.0,202411,KBEAUTY,채널전체,2024-11-01
창원시,202411,채널전체,6.0,,,,4.4,93.0,관광 명소,35.2470067,128.6542496,경상남도 창원시 의창구 봉곡동 15-10,경상남도,창원시,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
첨성대,202411,채널전체,18.0,,,,4.5,19581.0,역사적 장소,35.8346828,129.2190631,경상북도 경주시 인왕동 839-1,경상북도,경주시,2839879.0,2622403.0,8.3,111861620.0,9274079.0,66510.0,202411,KBEAUTY,채널전체,2024-11-01
청계천,202411,채널전체,12.0,4.0,,,4.5,9113.0,공원,37.5691015,126.9786692,서울특별시 중구 무교동 80-1,서울특별시,종로구,3977935.0,3671923.0,8.3,232806129.0,19854597.0,1426100.0,202411,KBEAUTY,채널전체,2024-11-01
충장로,202411,채널전체,576.0,12.0,64.0,-0.8,4.4,309.0,영화관,35.1498383,126.9139162,광주광역시 동구 충장로4가 36-1,광주광역시,동구,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
코엑스몰,202411,채널전체,122.0,,,,4.3,23541.0,쇼핑몰,37.5113686,127.0595931,서울특별시 영동대로 513,서울특별시,강남구,2655460.0,2624541.0,1.2,133572749.0,11053930.0,294218.0,202411,KBEAUTY,채널전체,2024-11-01
파르나스몰,202411,채널전체,4.0,,,,4.3,432.0,쇼핑몰,37.5091322,127.0608511,서울특별시 KR 서울특별시 강남구 삼성동 159-8번지 그랜드인터콘티넨탈호텔 지하1층 F34호,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
파크하얏트,202411,채널전체,4.0,,,,4.4,1807.0,5성급 호텔,37.5085791,127.0641676,서울특별시 강남구 대치동 995-14,서울특별시,강남구,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
평내호평,202411,채널전체,6.0,,,,4.4,185.0,산봉우리,37.653229,127.244452,남양주시 평내호평역,경기도,남양주시,18454628.0,18514625.0,-0.3,1654640275.0,131189062.0,91796595.0,202411,KBEAUTY,채널전체,2024-11-01
포스코국제관,202411,채널전체,6.0,,,,4.7,297.0,공과대학교,36.0139879,129.3210672,경상북도 포항시 남구 지곡동 253,경상북도,포항시,5522237.0,5416096.0,2.0,342368423.0,28619062.0,442671.0,202411,KBEAUTY,채널전체,2024-11-01
포시즌스호텔,202411,채널전체,12.0,,,,4.5,6852.0,5성급 호텔,37.5706978,126.9755073,서울특별시 종로구 당주동 새문안로 97,서울특별시,종로구,2372874.0,2279893.0,4.1,107741727.0,8346504.0,331195.0,202411,KBEAUTY,채널전체,2024-11-01
포천시장,202411,채널전체,6.0,,,,4.1,554.0,시장,37.8982868,127.2041251,경기도 포천시 신읍동 193-13,경기도,포천시,11763409.0,11413860.0,3.1,640702326.0,53168351.0,20319026.0,202411,KBEAUTY,채널전체,2024-11-01
하남스타필드,202411,채널전체,8.0,,,,4.3,18520.0,쇼핑몰,37.5454054,127.223858,경기도 하남시 미사대로 750 스타필드 하남 1층,경기도,하남시,2261588.0,2053257.0,10.1,159991959.0,13724765.0,352132.0,202411,KBEAUTY,채널전체,2024-11-01
하이원스키장,202411,채널전체,12.0,,6.0,-1.0,4.5,4132.0,스키장,37.2074566,128.8253198,강원특별자치도 정선군 고한읍 하이원길 265-1,강원특별자치도,정선군,4381618.0,4302193.0,1.8,368289380.0,28813983.0,477671.0,202411,KBEAUTY,채널전체,2024-11-01
한강 공원,202411,채널전체,8.0,,,,4.8,46.0,공원,37.5270005,127.0198894,서울특별시 강남구 압구정동 387,서울특별시,강남구,697060.0,621645.0,12.1,40719008.0,2348680.0,79122.0,202411,KBEAUTY,채널전체,2024-11-01
해비치호텔,202411,채널전체,12.0,,6.0,-1.0,4.5,5619.0,5성급 호텔,33.3233757,126.8447677,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도,서귀포시,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,채널전체,2024-11-01
해운대해수욕장,202411,채널전체,1890.0,6.0,10.0,-0.4,4.6,2198.0,해변,35.1719465,129.1741038,부산광역시 해운대구 좌동 998-11,부산광역시,해운대구,3396697.0,3458119.0,-1.8,314063628.0,22625759.0,5670154.0,202411,KBEAUTY,채널전체,2024-11-01
황리단길,202411,채널전체,20.0,,,,4.2,7208.0,관광 명소,35.8376609,129.209724,경상북도 경주시 황남동 포석로 일대,경상북도,경주시,5624713.0,5269306.0,6.7,618908516.0,51567288.0,21451048.0,202411,KBEAUTY,채널전체,2024-11-01
명동,202411,네이버카페,1.0,,,,4.3,24030.0,관광 명소,37.55998,126.9858296,서울특별시 중구 남산동2가 10-4,서울특별시,중구,3977935.0,3671923.0,8.3,232806129.0,19854597.0,1426100.0,202411,KBEAUTY,네이버카페,2024-11-01
성수동,202411,네이버카페,3.0,,,,3.9,93.0,관광 명소,37.5406846,127.0566319,서울특별시 성동구 성수동2가 315-4,서울특별시,성동구,12655783.0,12370767.0,2.3,1473646088.0,120194159.0,169238596.0,202411,KBEAUTY,네이버카페,2024-11-01
인천국제공항,202411,네이버카페,7.0,,,,4.5,31064.0,국제공항,37.458666,126.4419679,인천광역시 중구 공항로 272 인천국제공항 (ICN),인천광역시,중구,5752498.0,5176437.0,11.1,316131281.0,25276086.0,7309137.0,202411,KBEAUTY,네이버카페,2024-11-01
